"2014 Form EIA-860 Data - Schedule 3, 'Generator Data' (Proposed Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,"Turbines, Inverters, or Hydrokinetic Buoys",Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Switch Between Oil and Natural Gas?,Cofire Fuels?
213,Alaska Electric Light&Power Co,59793,Industrial Plant,AK,Juneau,15,Petroleum Liquids,GT,,S,X,X,,,25.0,0.850,25.0,25.0,L,9,2016,9,2016,N,Electric Utility,1,N,DFO,,,,,, ,,,,,,,,N,N,N,N
219,Alaska Power and Telephone Co,59027,Mahoney Lake Hydroelectric,AK,Ketchikan Gateway,GEN 1,Conventional Hydroelectric,HY,,J,X,X,,,9.6,9.600,9.6,9.6,L,12,2017,12,2017,N,Electric Utility,1,N,WAT,,,,,, ,,,,,,,,,,,
219,Alaska Power and Telephone Co,59037,Reynolds Creek,AK,Prince of Wales Ketchikan,GEN 1,Conventional Hydroelectric,HY,,J,X,X,,,5.0, ,5.0,5.0,T,12,2017,12,2017,N,Electric Utility,1,N,WAT,,,,,,1,,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6319,Hooper Bay,AK,Bethel,5A,Petroleum Liquids,IC,,S,X,X,,,0.8,0.900,0.8,0.8,P,10,2015,10,2015,N,Electric Utility,1,N,DFO,,,,,, ,,,,,,,,,,N,N
221,"Alaska Village Elec Coop, Inc",6329,Mountain Village,AK,Bethel,4A,Petroleum Liquids,IC,,S,X,X,,,0.8,0.900,0.8,0.8,P,6,2016,6,2016,N,Electric Utility,1,N,DFO,,,,,, ,,,,,,,,,,N,N
221,"Alaska Village Elec Coop, Inc",57051,Noatak,AK,Northwest Arctic,5A,Petroleum Liquids,IC,,S,X,X,,,0.5,0.900,0.5,0.5,L,6,2015,6,2015,N,Electric Utility,1,N,JF,,,,,, ,,,,,,,,,,N,N
221,"Alaska Village Elec Coop, Inc",57061,St. Michael,AK,Nome,4,Petroleum Liquids,IC,,S,X,X,,,0.7,0.900,0.7,0.7,TS,6,2015,6,2015,N,Electric Utility,1,N,JF,,,,,, ,,,,,,,,,,N,N
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,IA,Linn,GEN7,Natural Gas Fired Combustion Turbine,GT,,S,N,X,,,38.5,0.850,35.0,41.0,P,4,2016,4,2016,N,Industrial CHP,7,N,NG,NG,,,,, ,,,,,Y,,,N,N,N,N
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,P,11,2017,11,2017,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,P,12,2017,12,2017,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT5,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,P,2,2018,2,2018,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT6,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,P,3,2018,3,2018,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT7,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,P,4,2018,4,2018,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,,
803,Arizona Public Service Co,59444,SR85,AZ,Maricopa,PV1,Solar Photovoltaic,PV,,S,X,X,,,10.0, ,10.0,10.0,U,8,2015,8,2015,N,Electric Utility,1,N,SUN,,,,,,14,,,,,,,,,,,
918,City of Aspen- (CO),56566,Castle Creek Hydroplant,CO,Pitkin,1,Conventional Hydroelectric,HY,,S,X,X,,,1.2, ,1.2,1.2,L,11,2010,6,2016,N,Electric Utility,1,,WAT,,,,,, ,,,,,,,,N,,,
