"2014 Form EIA-860 Data - Schedule 3, 'Generator Data' (Retired & Canceled Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Cofire Fuels?,Switch Between Oil and Natural Gas?
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,Yates,3,Conventional Steam Coal,ST,,S,X,X,,,50.0, ,52.0,48.9, ,, , ,RE,X,4,1950,12,2009,N,IPP Non-CHP,2,X,BIT,NG,,,,,DFO,,,,N,, ,,,Y,,,Y,,,Y,
34,City of Abbeville - (SC),3305,Rocky River (SC),SC,Anderson,IC1,Petroleum Liquids,IC,,S,X,X,,,1.1, ,1.1,1.1, ,N, , ,RE,X,11,1946,1,2013,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,CA,San Bernardino,GEN1,Conventional Steam Coal,ST,,J,X,X,,,108.0,0.990,101.2,101.5,68.0,N, , ,RE,X,9,1990,10,2014,Y,IPP CHP,3,T,BIT,PC,,,,,NG,,,,N,N, ,12H,Y,,,,Y,,,Y,N
135,Agrilectric Power Partners Ltd,10593,Agrilectric Power Partners Ltd,LA,Calcasieu,GEN2,Other Waste Biomass,ST,,S,X,X,,,1.5, ,1.3,1.3, ,, , ,RE,X,8,1995,3,2007,N,IPP Non-CHP,2,X,AB,NG,,,,,NG,,,,N,, ,,,,,,,,,,
150,Adrian Public Utilities Comm,1956,Adrian,MN,NOBLES,3,Petroleum Liquids,IC,,S,X,X,,,0.4, ,0.4,0.4, ,N, , ,RE,X,88,1948,12,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
150,Adrian Public Utilities Comm,1956,Adrian,MN,NOBLES,4,Petroleum Liquids,IC,,S,X,X,,,0.6, ,0.5,0.6, ,N, , ,RE,X,88,1954,12,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
164,AERA Energy LLC,55185,Aera South Belridge Cogen Facility,CA,Kern,GENA,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,3.0, ,2.7,3.0, ,, , ,RE,X,9,1989,7,2010,Y,Industrial CHP,7,T,NG,,,,,,,,,,N,, ,,,,,,,,,,
164,AERA Energy LLC,55185,Aera South Belridge Cogen Facility,CA,Kern,GENB,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,3.0, ,2.7,3.0, ,, , ,RE,X,9,1989,7,2010,Y,Industrial CHP,7,T,NG,,,,,,,,,,N,, ,,,,,,,,,,
164,AERA Energy LLC,55185,Aera South Belridge Cogen Facility,CA,Kern,GENC,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,3.0, ,2.7,3.0, ,, , ,RE,X,9,1989,7,2010,Y,Industrial CHP,7,T,NG,,,,,,,,,,N,, ,,,,,,,,,,
178,CES Placerita Inc,10677,CES Placerita Power Plant,CA,Los Angeles,UNT1,Natural Gas Fired Combined Cycle,CT,CESP,S,X,N,,,60.0,0.850,46.0,50.0,0.0,N, , ,RE,X,6,1988,1,2008,N,IPP Non-CHP,2,X,NG,,,,,,,,,,N,, ,12H,,,,,,,,N,
