,Year,Plant Type,Cap_added,Capacity-Weighted Age
0,Year,Plant Type,Cap_added,Capacity-Weighted Age
1,1891,Natural Gas,"23435    3.9
Name: cap_added, dtype: float64",NaN
2,1893,Natural Gas,"23651    0.8
Name: cap_added, dtype: float64",NaN
3,1896,Natural Gas,"23868    4.8
Name: cap_added, dtype: float64",NaN
4,1898,Natural Gas,"24086    6.3
Name: cap_added, dtype: float64",NaN
5,1899,Natural Gas,"24305    3.2
Name: cap_added, dtype: float64",NaN
6,1900,Natural Gas,"24525    9.2
Name: cap_added, dtype: float64",NaN
7,1901,Natural Gas,"24746    4.3
Name: cap_added, dtype: float64",NaN
8,1902,Natural Gas,"24968    2.4
Name: cap_added, dtype: float64",NaN
9,1903,Natural Gas,"25191    45.6
Name: cap_added, dtype: float64",NaN
10,1904,Natural Gas,"25415    29.6
Name: cap_added, dtype: float64",NaN
11,1905,Natural Gas,"25640    37.6
Name: cap_added, dtype: float64",NaN
12,1906,Natural Gas,"25866    33.1
Name: cap_added, dtype: float64",NaN
13,1907,Natural Gas,"26093    122.1
Name: cap_added, dtype: float64",NaN
14,1908,Natural Gas,"26321    54.1
Name: cap_added, dtype: float64",NaN
15,1909,Natural Gas,"26550    74.4
Name: cap_added, dtype: float64",NaN
16,1910,Natural Gas,"26780    174.6
Name: cap_added, dtype: float64",NaN
17,1911,Natural Gas,"27011    143.6
Name: cap_added, dtype: float64",NaN
18,1912,Natural Gas,"27243    208.7
Name: cap_added, dtype: float64",NaN
19,1913,Natural Gas,"27476    347.2
Name: cap_added, dtype: float64",NaN
20,1914,Natural Gas,"27710    147.7
Name: cap_added, dtype: float64",NaN
21,1915,Natural Gas,"27945    253.7
Name: cap_added, dtype: float64",1
22,1916,Natural Gas,"28181    168.8
Name: cap_added, dtype: float64",NaN
23,1917,Natural Gas,"28418    266.9
Name: cap_added, dtype: float64",NaN
24,1918,Natural Gas,"28656    188.9
Name: cap_added, dtype: float64",NaN
25,1919,Natural Gas,"28895    279.3
Name: cap_added, dtype: float64",NaN
26,1920,Natural Gas,"29135    159.0
Name: cap_added, dtype: float64",NaN
27,1921,Natural Gas,"29376    294.2
56495     10.0
Name: cap_added, dtype: float64",NaN
28,1922,Natural Gas,"29618    179.2
Name: cap_added, dtype: float64",NaN
29,1923,Natural Gas,"29861    409.4
Name: cap_added, dtype: float64",NaN
30,1924,Natural Gas,"30105    543.6
Name: cap_added, dtype: float64",NaN
31,1925,Natural Gas,"30350     732.4
56831      20.0
103046      2.0
Name: cap_added, dtype: float64",1.365853659
32,1926,Natural Gas,"30596     281.7
103500     11.2
Name: cap_added, dtype: float64",1.713375796
33,1927,Natural Gas,"30843     460.4
103955      8.0
Name: cap_added, dtype: float64",NaN
34,1928,Natural Gas,"31091     1003.5
104411      67.5
Name: cap_added, dtype: float64",3.278074866
