,Year,Plant Type,Cap_added,Capacity-Weighted Age
0,Year,Plant Type,Cap_added,Capacity-Weighted Age
1,1915,Natural Gas,"27945    253.7
Name: cap_added, dtype: float64",1.0
2,1925,Natural Gas,"30350     732.4
56831      20.0
103046      2.0
Name: cap_added, dtype: float64",1.3658536585365857
3,1926,Natural Gas,"30596     281.7
103500     11.2
Name: cap_added, dtype: float64",1.713375796178344
4,1928,Natural Gas,"31091     1003.5
104411      67.5
Name: cap_added, dtype: float64",3.2780748663101607
5,1929,Natural Gas,"31340     260.7
57168      25.0
104868      6.0
Name: cap_added, dtype: float64",2.5173267326732667
6,1930,Natural Gas,"31590     792.6
57506      66.7
105326      9.5
Name: cap_added, dtype: float64",3.1410526315789471
7,1933,Natural Gas,"32346    37.8
57845     3.0
Name: cap_added, dtype: float64",5.8356435643564337
8,1935,Natural Gas,"32855    81.1
58526    89.9
Name: cap_added, dtype: float64",7.606698564593299
9,1936,Natural Gas,"33111     825.4
58868       9.0
106706     14.5
Name: cap_added, dtype: float64",8.0783615316117565
10,1938,Natural Gas,"33626     691.6
59555      25.0
107631     30.5
Name: cap_added, dtype: float64",8.9462197973499595
11,1939,Natural Gas,"33885     504.6
59900      65.6
108095     20.0
Name: cap_added, dtype: float64",8.1514018691588781
12,1940,Natural Gas,"34145     442.6
60246     137.5
108560     22.7
Name: cap_added, dtype: float64",8.4547008547008549
13,1941,Natural Gas,"34406     752.6
60593     134.8
109026     23.5
Name: cap_added, dtype: float64",6.1610434782608703
14,1942,Natural Gas,"34668     1109.4
60941      292.0
109493      52.5
Name: cap_added, dtype: float64",5.9546853146853147
15,1943,Natural Gas,"34931     1102.4
61290      479.2
109961      87.5
Name: cap_added, dtype: float64",6.5437499999999993
16,1944,Natural Gas,"35195    1013.6
61640     172.5
Name: cap_added, dtype: float64",7.5149079595540558
17,1945,Natural Gas,"35460     365.6
61991      77.5
110430     11.0
Name: cap_added, dtype: float64",5.6727389972593905
18,1946,Natural Gas,"35726    58.9
62343    50.0
Name: cap_added, dtype: float64",6.2402084884586744
19,1947,Natural Gas,"35993     169.0
62696     312.4
110900     60.5
Name: cap_added, dtype: float64",6.3825305073859981
20,1948,Natural Gas,"36261     803.1
63050     723.9
111371    109.7
Name: cap_added, dtype: float64",3.8113613217155136
21,1949,Natural Gas,"36530     1245.8
63405     1367.4
111843     118.3
Name: cap_added, dtype: float64",3.5379398688870469
22,1950,Natural Gas,"36800     1201.8
63761     1575.8
112316     134.3
Name: cap_added, dtype: float64",3.4808200359294093
23,1951,Natural Gas,"37071     1372.0
64118     1870.8
112790     168.2
Name: cap_added, dtype: float64",3.5289544904892609
24,1952,Natural Gas,"37343     1692.8
64476     3132.0
113265     133.6
Name: cap_added, dtype: float64",3.8961296725107513
25,1953,Natural Gas,"37616     1966.3
64835     4800.9
113741      73.1
Name: cap_added, dtype: float64",4.0307686652207479
26,1954,Natural Gas,"37890     1282.9
65195     6552.6
114218     136.0
Name: cap_added, dtype: float64",3.6820194212753474
27,1955,Natural Gas,"38165     1743.5
65556     7292.8
114696     193.3
Name: cap_added, dtype: float64",4.1222068584070799
28,1956,Natural Gas,"38441     1238.9
65918     2416.9
115175     154.9
Name: cap_added, dtype: float64",4.3997194631025556
29,1957,Natural Gas,"38718     1594.2
66281     4339.0
115655     150.8
Name: cap_added, dtype: float64",4.9576443313774563
30,1958,Natural Gas,"38996     2749.4
66645     6600.5
116136     157.6
Name: cap_added, dtype: float64",4.9219252118025123
31,1959,Natural Gas,"39275     1740.8
67010     7812.4
116618     151.3
Name: cap_added, dtype: float64",5.2962666506107734
32,1960,Natural Gas,"39555     1639.5
67376     6029.9
117101      91.0
Name: cap_added, dtype: float64",5.8114834537235147
33,1961,Natural Gas,"39836     3493.3
67743     4941.5
117585     147.5
Name: cap_added, dtype: float64",6.1853595656904652
34,1962,Natural Gas,"40118     2429.5
68111     4129.6
118070     118.2
Name: cap_added, dtype: float64",6.674852103735466
35,1963,Natural Gas,"40401     2946.5
68480     4936.3
118556      66.1
Name: cap_added, dtype: float64",7.0155268592589071
36,1964,Natural Gas,"40685     2307.7
68850     5174.7
119043     136.5
Name: cap_added, dtype: float64",7.3778205061805107
37,1965,Natural Gas,"40970     1604.8
69221     5984.4
119531     296.7
Name: cap_added, dtype: float64",7.8117748790095227
38,1966,Natural Gas,"41256     1414.2
69593     4475.0
120020     171.4
Name: cap_added, dtype: float64",8.1949358447354506
39,1967,Natural Gas,"41543     2432.3
69966     8305.7
120510     181.2
Name: cap_added, dtype: float64",8.1735736063767241
40,1968,Natural Gas,"41831      1958.2
70340     10427.0
121001      217.8
Name: cap_added, dtype: float64",8.4791295208837081
41,1969,Natural Gas,"42120      1907.1
70715     13372.5
121493      358.5
156735     1191.8
Name: cap_added, dtype: float64",8.7585878067938499
42,1970,Natural Gas,"42410      1134.8
71091     11146.0
121986      117.8
157295     1257.0
Name: cap_added, dtype: float64",8.9535961091718299
43,1971,Natural Gas,"42701      1187.4
71468     14219.2
89046       110.0
122480       98.0
157856     1453.6
Name: cap_added, dtype: float64",8.9805969726792139
44,1972,Natural Gas,"42993       220.8
71846     11763.8
89468       110.0
122975       86.5
158418     4412.9
Name: cap_added, dtype: float64",9.2284627607525369
45,1973,Natural Gas,"43286      1260.8
72225     12733.0
89891       110.0
123471        5.0
158981     2996.2
Name: cap_added, dtype: float64",9.5199479510563094
46,1974,Natural Gas,"43580      554.0
72605     9516.6
123968      49.5
159545    5650.5
Name: cap_added, dtype: float64",9.6546365255945723
47,1975,Natural Gas,"43875     2030.5
72986     8961.8
90315      110.0
160110    3364.5
165815      16.5
Name: cap_added, dtype: float64",9.9416391800378054
48,1976,Natural Gas,"44171     1615.3
73368     8893.4
124466     245.1
160676    1805.4
Name: cap_added, dtype: float64",10.621313661354721
49,1977,Natural Gas,"44468       519.4
73751     12617.6
124965      376.3
161243     3614.5
Name: cap_added, dtype: float64",11.142107043157754
50,1978,Natural Gas,"44766      2321.6
74135     12288.5
125465      145.1
161811      979.7
Name: cap_added, dtype: float64",11.802292697531898
51,1979,Natural Gas,"45065      2127.1
74520     10727.5
90740       110.0
125966      266.0
162380      864.7
Name: cap_added, dtype: float64",12.567105983404092
52,1980,Natural Gas,"45365      1226.9
74906     14737.4
91166       251.0
126468      341.3
162950     1922.2
Name: cap_added, dtype: float64",13.532132297278487
53,1981,Natural Gas,"45666       278.8
75293     10502.8
126971      404.8
163521      888.2
166391       22.4
Name: cap_added, dtype: float64",14.454232485110477
54,1982,Natural Gas,"45968       656.8
75681     12388.7
91593       128.0
127475      428.8
166968       19.5
Name: cap_added, dtype: float64",15.34479018585089
55,1983,Natural Gas,"46271      721.7
76070     6710.7
92021      306.0
127980     333.0
167546     378.2
Name: cap_added, dtype: float64",16.246514541244071
56,1984,Natural Gas,"46575      632.1
76460     9809.6
92450      217.7
128486     495.1
144668      14.8
168125     149.2
Name: cap_added, dtype: float64",17.127962805597662
57,1985,Natural Gas,"46880     1220.2
76851     7353.2
92880      465.6
128993     642.1
145206      30.0
168705     140.8
Name: cap_added, dtype: float64",17.931990812959054
58,1986,Natural Gas,"47186      632.9
77243     6402.5
93311       87.4
129501     517.3
145745      69.4
169286      85.6
Name: cap_added, dtype: float64",18.765055270339623
59,1987,Natural Gas,"47493      276.8
77636     4200.1
93743       64.6
130010    1013.0
146285      34.5
164093    1874.3
169868     119.2
Name: cap_added, dtype: float64",19.458983175147427
60,1988,Natural Gas,"47801      539.9
78030     1909.8
94176      289.2
130520     869.1
146826      70.4
170451      27.0
Name: cap_added, dtype: float64",20.120220886511042
61,1989,Natural Gas,"48110      575.1
78425     1886.3
94610      328.9
131031    1012.5
147368      92.0
171035      98.8
Name: cap_added, dtype: float64",20.627690773688208
62,1990,Natural Gas,"48420      464.0
78821     2229.4
95045       87.5
131543     800.1
147911      92.0
171620     113.2
Name: cap_added, dtype: float64",21.004491743536246
63,1991,Natural Gas,"48731      167.2
79218     1896.3
132056    1058.9
172206      76.9
Name: cap_added, dtype: float64",21.590338470856398
64,1992,Natural Gas,"49043      201.1
79616     1448.3
95481       97.8
132570     477.4
172793       6.9
Name: cap_added, dtype: float64",21.965744348566833
65,1993,Natural Gas,"49356     158.9
80015     192.8
95918      48.0
133085    497.6
173381      4.2
Name: cap_added, dtype: float64",22.355378696001328
66,1994,Natural Gas,"49670      276.9
80415     1055.0
133601     376.3
173970     124.4
Name: cap_added, dtype: float64",22.27234588893818
67,1995,Natural Gas,"49985      123.2
80816     2624.4
134118     471.6
174560      30.0
Name: cap_added, dtype: float64",22.521823562747937
68,1996,Natural Gas,"50301       60.7
81218     1913.3
96356       47.5
134636     482.7
Name: cap_added, dtype: float64",23.050634828171468
69,1997,Natural Gas,"50618      62.5
81621      90.0
135155    377.4
175151     19.8
Name: cap_added, dtype: float64",23.572819426564678
70,1998,Natural Gas,"50936       2.9
82025       3.5
96795      60.5
135675    295.9
148455      0.1
175743    177.4
Name: cap_added, dtype: float64",24.335827826414658
71,1999,Natural Gas,"51255     188.6
82430     328.2
136196    160.6
149000      0.1
176336    697.8
Name: cap_added, dtype: float64",24.28643346478837
72,2000,Natural Gas,"51575       3.7
82836     130.5
97235      69.8
136718    138.2
176930     56.1
Name: cap_added, dtype: float64",22.344337273598349
73,2001,Natural Gas,"51896      150.1
83243      519.7
137241     466.3
149546       4.7
177525    1516.0
Name: cap_added, dtype: float64",20.029057773255012
74,2002,Natural Gas,"52218      17.8
83651       0.0
97676       7.3
137765    234.0
150093      2.1
178121    661.0
Name: cap_added, dtype: float64",17.314953151494706
75,2003,Natural Gas,"52541       82.5
84060       90.9
98118       24.0
138290     428.9
150641       0.2
178718    1609.2
Name: cap_added, dtype: float64",16.083953077682089
76,2004,Natural Gas,"52865      79.2
84470     617.0
138816    140.2
179316    392.6
Name: cap_added, dtype: float64",16.12127985388091
77,2005,Natural Gas,"53190       30.4
84881      477.7
98561       30.0
139343     158.6
151190       2.5
179915    2160.8
Name: cap_added, dtype: float64",16.48748290625176
78,2006,Natural Gas,"53516       21.4
85293      580.7
99005       52.5
139871     364.8
151740       1.4
180515    2661.3
Name: cap_added, dtype: float64",17.090791443189971
79,2007,Natural Gas,"53843       21.6
85706     1513.5
99450       56.7
140400     330.7
152291     109.5
181116    5283.8
Name: cap_added, dtype: float64",17.771436038360257
80,2008,Natural Gas,"54171       19.7
86120     1584.0
99896       64.0
140930     351.5
152843      34.6
181718    8497.4
Name: cap_added, dtype: float64",18.406608283623132
81,2009,Natural Gas,"54500       26.1
86535     1954.1
100343     212.7
141461     476.4
153396     108.9
182321    9921.5
Name: cap_added, dtype: float64",18.956011234695477
82,2010,Natural Gas,"54830       21.5
86951     5836.0
100791      23.5
141993     362.9
153950     238.3
182925    4683.5
Name: cap_added, dtype: float64",19.625179297971144
83,2011,Natural Gas,"55161      161.0
87368     4253.1
101240       6.8
142526     528.0
154505     763.2
183530    6882.8
Name: cap_added, dtype: float64",20.160096969620731
