,State,tech,Capacity
0,WA,Natural Gas,4045.3
1,WA,Petroleum,15.5
2,WA,Storage,314.0
3,WA,Hydropower,20871.3
4,WA,Coal,1459.8
5,WA,Other,566.5
6,WA,Solar,0.5
7,WA,Nuclear,1200.0
8,WA,Wind,3077.8
9,DE,Natural Gas,2515.2
10,DE,Petroleum,121.6
11,DE,Coal,445.5
12,DE,Other,152.2
13,DE,Solar,29.6
14,DE,Wind,2.0
15,DC,Natural Gas,10.8
16,WI,Natural Gas,7123.4
17,WI,Nuclear,1286.0
18,WI,Petroleum,715.8
19,WI,Hydropower,522.3
20,WI,Coal,8715.0
21,WI,Other,511.2
22,WI,Solar,1.0
23,WI,Wind,637.5
24,WV,Natural Gas,1205.0
25,WV,Petroleum,18.5
26,WV,Storage,34.0
27,WV,Hydropower,326.6
28,WV,Coal,14969.0
29,WV,Other,2.2
30,WV,Wind,583.3
31,HI,Storage,21.0
32,HI,Petroleum,2076.5
33,HI,Hydropower,26.2
34,HI,Coal,203.0
35,HI,Geothermal,51.0
36,HI,Other,301.5
37,HI,Solar,32.2
38,HI,Wind,205.6
39,FL,Natural Gas,40830.6
40,FL,Nuclear,3797.2
41,FL,Petroleum,7974.6
42,FL,Hydropower,55.7
43,FL,Coal,11343.3
44,FL,Other,2334.5
45,FL,Solar,75.1
46,WY,Natural Gas,298.1
47,WY,Petroleum,5.8
48,WY,Hydropower,301.8
49,WY,Coal,7244.3
50,WY,Other,121.5
51,WY,Wind,1433.0
52,NH,Natural Gas,1400.5
53,NH,Nuclear,1242.0
54,NH,Petroleum,524.7
55,NH,Hydropower,444.8
56,NH,Coal,559.2
57,NH,Other,279.8
58,NH,Wind,171.0
59,NJ,Natural Gas,12258.5
60,NJ,Petroleum,974.6
61,NJ,Storage,453.0
62,NJ,Hydropower,14.7
63,NJ,Coal,2003.0
64,NJ,Other,277.5
65,NJ,Solar,392.4
66,NJ,Nuclear,4180.7
67,NJ,Wind,9.0
68,NM,Natural Gas,3796.5
69,NM,Storage,2.6
70,NM,Petroleum,59.0
71,NM,Hydropower,81.7
72,NM,Coal,3741.2
73,NM,Geothermal,4.0
74,NM,Other,2.2
75,NM,Solar,250.7
76,NM,Wind,812.3
77,TX,Natural Gas,74179.7
78,TX,Nuclear,5138.6
79,TX,Petroleum,65.8
80,TX,Hydropower,684.6
81,TX,Coal,25420.4
82,TX,Storage,36.0
83,TX,Other,1105.5
84,TX,Solar,186.6
85,TX,Wind,14000.2
86,LA,Natural Gas,20784.9
87,LA,Nuclear,2235.7
88,LA,Petroleum,1046.5
89,LA,Hydropower,192.0
90,LA,Coal,3796.2
91,LA,Other,822.9
92,NC,Solar,681.4
93,NC,Natural Gas,12713.1
94,NC,Nuclear,5394.7
95,NC,Storage,95.0
96,NC,Hydropower,1889.2
97,NC,Coal,10969.3
98,NC,Other,719.9
99,NC,Petroleum,504.2
100,ND,Natural Gas,330.0
101,ND,Petroleum,68.5
102,ND,Hydropower,614.0
103,ND,Coal,4350.1
104,ND,Other,22.6
105,ND,Wind,1802.4
106,NE,Natural Gas,2110.7
107,NE,Nuclear,1303.0
108,NE,Petroleum,361.1
109,NE,Hydropower,332.3
110,NE,Coal,4274.0
111,NE,Other,15.7
112,NE,Wind,811.7
113,TN,Solar,47.5
114,TN,Natural Gas,6406.0
115,TN,Nuclear,3710.9
116,TN,Storage,1713.6
117,TN,Hydropower,2499.4
118,TN,Coal,8196.5
119,TN,Other,200.3
120,TN,Petroleum,57.6
121,TN,Wind,28.8
122,NY,Solar,53.2
123,NY,Natural Gas,21954.3
124,NY,Nuclear,5708.1
125,NY,Storage,1260.0
126,NY,Hydropower,4666.2
127,NY,Coal,2102.5
128,NY,Other,611.2
129,NY,Petroleum,4377.5
130,NY,Wind,1751.1
131,PA,Natural Gas,13320.5
132,PA,Petroleum,2880.2
133,PA,Storage,1561.0
134,PA,Hydropower,919.5
135,PA,Coal,15799.5
136,PA,Other,761.3
137,PA,Solar,48.5
138,PA,Nuclear,10322.4
139,PA,Wind,1344.1
140,AK,Natural Gas,1220.7
141,AK,Petroleum,757.1
142,AK,Storage,30.0
143,AK,Hydropower,440.4
144,AK,Coal,113.5
145,AK,Other,51.5
146,AK,Wind,72.7
147,NV,Natural Gas,8625.2
148,NV,Petroleum,6.0
149,NV,Hydropower,1052.2
150,NV,Coal,1103.8
151,NV,Geothermal,616.7
