,Year,Cap_added,Capacity-Weighted Age
1,1891.0,3.9,1.0
2,1893.0,0.8,2.65957446809
3,1896.0,4.8,3.3052631579
4,1898.0,6.3,3.58860759493
5,1899.0,3.2,3.98421052631
6,1900.0,9.2,3.68439716312
7,1901.0,4.3,4.19692307692
8,1902.0,2.4,4.90830945558
9,1903.0,45.6,3.12795031056
10,1904.0,29.6,3.28701180745
11,1905.0,37.6,3.45023696682
12,1906.0,33.1,3.81858407079
13,1907.0,122.1,3.27930009904
14,1908.0,54.1,3.78235294118
15,1909.0,74.4,4.13004172462
16,1910.0,174.6,3.9400990099
17,1911.0,143.6,4.18529882604
18,1912.0,208.7,4.27381821976
19,1913.0,347.2,4.13718881654
20,1914.0,147.7,4.71669419213
21,1915.0,254.3,5.01423133236
22,1916.0,168.8,5.56312956351
23,1917.0,266.9,5.87033407988
24,1918.0,188.9,6.39483727113
25,1919.0,279.3,6.71088305124
26,1920.0,159.0,7.32572913659
27,1921.0,304.2,7.60092369739
28,1922.0,179.2,8.18230991456
29,1923.0,424.4,8.23821434397
30,1924.0,558.6,8.15204871601
31,1925.0,770.2,7.8980627122
32,1926.0,307.9,8.44051628441
33,1927.0,469.3,8.75569655268
34,1928.0,1105.9,8.35035775968
35,1929.0,338.9,8.95888781298
36,1930.0,939.5,8.92848136133
37,1931.0,663.8,9.25745275863
38,1932.0,274.1,9.97880611438
39,1933.0,76.8,10.8953523826
40,1934.0,45.3,11.8418702931
41,1935.0,176.8,12.6192678596
42,1936.0,861.6,12.5602567474
43,1937.0,389.2,13.1015099333
44,1938.0,768.7,13.2199950984
45,1939.0,637.5,13.5213101979
46,1940.0,626.5,13.8537056302
47,1941.0,1152.8,13.6998974107
48,1942.0,1617.6,13.2663850652
49,1943.0,1862.1,12.8402025252
50,1944.0,1223.6,12.9930007711
51,1945.0,771.2,13.4742520488
52,1946.0,188.4,14.3441000795
53,1947.0,902.0,14.7100678705
54,1948.0,3168.4,13.7330762803
55,1949.0,3964.9,12.7559277845
56,1950.0,4653.8,11.9114575568
57,1951.0,5226.5,11.2473296437
58,1952.0,6311.5,10.6236954513
59,1953.0,9465.2,9.73313056424
60,1954.0,12652.8,8.86268709301
61,1955.0,12296.3,8.46792602043
62,1956.0,7020.3,8.76971498083
63,1957.0,8929.8,8.93728426288
64,1958.0,15256.7,8.69021798273
65,1959.0,14379.8,8.68013416039
66,1960.0,10944.6,8.97461558053
67,1961.0,13229.0,9.17179683596
68,1962.0,10446.1,9.56665142638
69,1963.0,13257.8,9.82747916788
70,1964.0,12830.5,10.1437460861
71,1965.0,13414.5,10.4559197392
72,1966.0,11170.3,10.897076574
73,1967.0,21594.7,10.8766286532
74,1968.0,21478.4,10.9498905983
75,1969.0,25075.0,10.9592287716
76,1970.0,23348.9,11.1077004934
77,1971.0,29655.7,11.1099843115
78,1972.0,29922.7,11.1867480402
79,1973.0,32368.2,11.2640960851
80,1974.0,33714.9,11.3729660771
81,1975.0,28285.5,11.6650913494
82,1976.0,19530.8,12.1844039695
83,1977.0,26420.1,12.5410836733
84,1978.0,23593.4,12.9763498505
85,1979.0,19509.1,13.5105030572
86,1980.0,20365.4,14.0218495478
87,1981.0,15209.6,14.652858231
88,1982.0,15101.6,15.279756304
89,1983.0,9678.5,16.0341761197
90,1984.0,13760.5,16.676273314
91,1985.0,14570.6,17.2908840733
92,1986.0,9301.5,18.0391214234
93,1987.0,10413.0,18.7499485369
94,1988.0,6632.1,19.5600912907
95,1989.0,8542.3,20.3085896851
96,1990.0,9175.4,21.0319848546
97,1991.0,8734.9,21.7627403238
98,1992.0,7634.6,22.5215267554
99,1993.0,6142.8,23.3221217384
100,1994.0,11221.1,23.9518029832
101,1995.0,11163.1,24.5789035507
102,1996.0,7033.9,25.3393305114
103,1997.0,5235.4,26.1561299576
104,1998.0,2805.8,27.0539677835
105,1999.0,11028.4,27.6519499161
106,2000.0,31172.6,27.54170194
107,2001.0,46609.0,26.981978894
108,2002.0,67902.1,25.9218070883
109,2003.0,55227.2,25.3988661063
110,2004.0,26911.7,25.6777338186
111,2005.0,20032.4,26.138302884
112,2006.0,14124.6,26.7470771446
113,2007.0,15424.4,27.3153380401
114,2008.0,19449.1,27.7758149565
115,2009.0,23595.7,28.1272044596
116,2010.0,19649.3,28.5799305168
117,2011.0,23763.9,28.9251313432
118,2012.0,30401.2,29.0982612556
119,2013.0,14247.3,29.6701890674
120,2014.0,18301.8,30.1295677359
